Title,Year,Url,Genre,Countries,Directors,Main Actors
Le Dictateur,1940,https://imdb.com/title/tt0032553/,War,['United States'],['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell', 'Billy Gilbert', 'Grace Hayle', 'Carter DeHaven', 'Maurice Moscovitch', 'Emma Dunn']"
Témoin à charge,1957,https://imdb.com/title/tt0051201/,Mystery,['United States'],['Billy Wilder'],"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester', 'John Williams', 'Henry Daniell', 'Ian Wolfe', 'Torin Thatcher', 'Norma Varden', ""Una O'Connor""]"
Avengers: Infinity War,2018,https://imdb.com/title/tt4154756/,Sci-Fi,['United States'],"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Zoe Saldana']"
Aliens : Le Retour,1986,https://imdb.com/title/tt0090605/,Sci-Fi,"['United Kingdom', 'United States']",['James Cameron'],"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser', 'Lance Henriksen', 'Bill Paxton', 'William Hope', 'Jenette Goldstein', 'Al Matthews', 'Mark Rolston']"
American Beauty,1999,https://imdb.com/title/tt0169547/,Drama,['United States'],['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards']"
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,1964,https://imdb.com/title/tt0057012/,War,"['United Kingdom', 'United States']",['Stanley Kubrick'],"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn', 'Slim Pickens', 'Peter Bull', 'James Earl Jones', 'Tracy Reed', 'Jack Creley', 'Frank Berry']"
Spider-Man: New Generation,2018,https://imdb.com/title/tt4633694/,Adventure,['United States'],"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'Zoë Kravitz', 'John Mulaney', 'Kimiko Glenn']"
The Dark Knight Rises,2012,https://imdb.com/title/tt1345836/,Drama,"['United States', 'United Kingdom']",['Christopher Nolan'],"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Morgan Freeman', 'Michael Caine', 'Matthew Modine', 'Alon Aboutboul']"
Old Boy,2003,https://imdb.com/title/tt0364569/,Mystery,['South Korea'],['Park Chan-wook'],"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok', 'Dae-han Ji', 'Dal-su Oh', 'Seung-shin Lee', 'Jin-Seo Yoon', 'Tae-kyung Oh', 'Yoo Yeon-Seok']"
Joker,2019,https://imdb.com/title/tt7286456/,Thriller,"['United States', 'Canada']",['Todd Phillips'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy', 'Brett Cullen', 'Shea Whigham', 'Bill Camp', 'Glenn Fleshler', 'Leigh Gill', 'Josh Pais']"
Braveheart,1995,https://imdb.com/title/tt0112573/,History,['United States'],['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen', 'James Robinson', 'Sean Lawlor', 'Sandy Nelson', 'James Cosmo', 'Sean McGinley', 'Alan Tall']"
Amadeus,1984,https://imdb.com/title/tt0086879/,Music,"['United States', 'France', 'Italy']",['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice', 'Simon Callow', 'Christine Ebersole', 'Jeffrey Jones', 'Charles Kay', 'Kenneth McMillan', 'Kenny Baker']"
Toy Story,1995,https://imdb.com/title/tt0114709/,Comedy,['United States'],['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf']"
Coco,2017,https://imdb.com/title/tt2380307/,Comedy,['United States'],"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach', 'Renee Victor', 'Jaime Camil', 'Alfonso Arau', 'Herbert Siguenza', 'Gabriel Iglesias', 'Lombardo Boyar']"
Le Bateau,1981,https://imdb.com/title/tt0082096/,War,['West Germany'],['Wolfgang Petersen'],"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch', 'Martin Semmelrogge', 'Bernd Tauber', 'Erwin Leder', 'Martin May', 'Heinz Hoenig', 'Uwe Ochsenknecht']"
Inglourious Basterds,2009,https://imdb.com/title/tt0361748/,War,"['Germany', 'United States']",['Quentin Tarantino'],"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent', 'Christoph Waltz', 'Michael Fassbender', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido']"
Princesse Mononoké,1997,https://imdb.com/title/tt0119698/,Fantasy,['Japan'],['Hayao Miyazaki'],"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup', 'Billy Bob Thornton', 'Minnie Driver', 'John DiMaggio', 'Claire Danes', 'John DeMita', 'Jada Pinkett Smith']"
Avengers: Endgame,2019,https://imdb.com/title/tt4154796/,Drama,['United States'],"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch', 'Chadwick Boseman']"
Il était une fois en Amérique,1984,https://imdb.com/title/tt0087843/,Drama,"['Italy', 'United States']",['Sergio Leone'],"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams', 'Tuesday Weld', 'Burt Young', 'Joe Pesci', 'Danny Aiello', 'William Forsythe', 'James Hayden']"
Will Hunting,1997,https://imdb.com/title/tt0119217/,Romance,['United States'],['Gus Van Sant'],"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård', 'John Mighton', 'Rachel Majorowski', 'Colleen McCauley', 'Casey Affleck', 'Cole Hauser', 'Matt Mercier']"
Toy Story 3,2010,https://imdb.com/title/tt0435761/,Comedy,['United States'],['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty', 'Don Rickles', 'Michael Keaton', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'John Morris']"
Requiem for a Dream,2000,https://imdb.com/title/tt0180093/,Drama,['United States'],['Darren Aronofsky'],"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans', 'Christopher McDonald', 'Louise Lasser', 'Marcia Jean Kurtz', 'Janet Sarno', 'Suzanne Shepherd', 'Joanne Gordon']"
Your Name.,2016,https://imdb.com/title/tt5311514/,Fantasy,['Japan'],['Makoto Shinkai'],"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki', 'Nobunaga Shimazaki', 'Kaito Ishikawa', 'Kanon Tani', 'Masaki Terasoma', 'Sayaka Ôhara', 'Kazuhiko Inoue']"
Chantons sous la pluie,1952,https://imdb.com/title/tt0045152/,Romance,['United States'],"['Stanley Donen', 'Gene Kelly']","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen', 'Millard Mitchell', 'Cyd Charisse', 'Douglas Fowley', 'Rita Moreno', 'Dawn Addams', 'John Albright']"
3 Idiots,2009,https://imdb.com/title/tt1187043/,Drama,['India'],['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi', 'Kareena Kapoor', 'Boman Irani', 'Omi Vaidya', 'Olivier Lafont', 'Rahul Kumar', 'Parikshit Sahni']"
Le Retour du Jedi,1983,https://imdb.com/title/tt0086190/,Fantasy,['United States'],['Richard Marquand'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'Peter Mayhew', 'Sebastian Shaw', 'Ian McDiarmid', 'Frank Oz', 'James Earl Jones']"
2001 : L'Odyssée de l'espace,1968,https://imdb.com/title/tt0062622/,Sci-Fi,"['United Kingdom', 'United States']",['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Douglas Rain', 'Frank Miller']"
Eternal Sunshine of the Spotless Mind,2004,https://imdb.com/title/tt0338013/,Sci-Fi,['United States'],['Michel Gondry'],"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne', 'Elijah Wood', 'Thomas Jay Ryan', 'Mark Ruffalo', 'Jane Adams', 'David Cross', 'Kirsten Dunst']"
Reservoir Dogs,1992,https://imdb.com/title/tt0105236/,Thriller,['United States'],['Quentin Tarantino'],"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino']"
Entre le ciel et l'enfer,1963,https://imdb.com/title/tt0057565/,Mystery,['Japan'],['Akira Kurosawa'],"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa', 'Tatsuya Mihashi', 'Isao Kimura', 'Kenjirô Ishiyama', 'Takeshi Katô', 'Takashi Shimura', 'Jun Tazaki']"
Capharnaüm,2018,https://imdb.com/title/tt8267604/,Drama,"['Lebanon', 'France', 'Cyprus', 'Qatar', 'United Kingdom']",['Nadine Labaki'],"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad', 'Fadi Yousef', 'Cedra Izzam', 'Alaa Chouchnieh', 'Elias Khoury', 'Mohammad Al Abdallah', 'Mohamad Abdellatif']"
Citizen Kane,1941,https://imdb.com/title/tt0033467/,Mystery,['United States'],['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead', 'Ruth Warrick', 'Ray Collins', 'Erskine Sanford', 'Everett Sloane', 'William Alland', 'Paul Stewart']"
Lawrence d'Arabie,1962,https://imdb.com/title/tt0056172/,Drama,['United Kingdom'],['David Lean'],"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit']"
La chasse,2012,https://imdb.com/title/tt2106476/,Drama,"['Denmark', 'Sweden']",['Thomas Vinterberg'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm', 'Susse Wold', 'Anne Louise Hassing', 'Lars Ranthe', 'Alexandra Rapaport', 'Sebastian Bull Sarning', 'Steen Ordell Guldbrand Jensen']"
M le maudit,1931,https://imdb.com/title/tt0022100/,Thriller,['Germany'],['Fritz Lang'],"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke', 'Theodor Loos', 'Gustaf Gründgens', 'Friedrich Gnaß', 'Fritz Odemar', 'Paul Kemp', 'Theo Lingen']"
La mort aux trousses,1959,https://imdb.com/title/tt0053125/,Mystery,['United States'],['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Leo G. Carroll', 'Josephine Hutchinson', 'Philip Ober', 'Martin Landau', 'Adam Williams', 'Edward Platt']"
Sueurs froides,1958,https://imdb.com/title/tt0052357/,Thriller,['United States'],['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones', 'Raymond Bailey', 'Ellen Corby', 'Konstantin Shayne', 'Lee Patrick', 'David Ahdar']"
Le fabuleux destin d'Amélie Poulain,2001,https://imdb.com/title/tt0211915/,Romance,"['France', 'Germany']",['Jean-Pierre Jeunet'],"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta', 'Serge Merlin', 'Jamel Debbouze', 'Clotilde Mollet', 'Claire Maurier', 'Isabelle Nanty', 'Dominique Pinon']"
Orange mécanique,1971,https://imdb.com/title/tt0066921/,Sci-Fi,"['United Kingdom', 'United States']",['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke', 'John Clive', 'Adrienne Corri', 'Carl Duering', 'Paul Farrell', 'Clive Francis', 'Michael Gover']"
Requiem pour un massacre - Va et regarde,1985,https://imdb.com/title/tt0091251/,War,['Soviet Union'],['Elem Klimov'],"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas', 'Jüri Lumiste', 'Viktors Lorencs', 'Kazimir Rabetsky', 'Evgeniy Tilicheev', 'G. Velts', 'V. Vasilyev']"
Full Metal Jacket,1987,https://imdb.com/title/tt0093058/,War,"['United Kingdom', 'United States']",['Stanley Kubrick'],"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin', 'Dorian Harewood', 'Kevyn Major Howard', 'Arliss Howard', ""Ed O'Ross"", 'John Terry', 'Kieron Jecchinis']"
Assurance sur la mort,1944,https://imdb.com/title/tt0036775/,Film-Noir,['United States'],['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr', 'Porter Hall', 'Jean Heather', 'Tom Powers', 'Richard Gaines', 'Fortunio Bonanova', 'John Philliber']"
La garçonnière,1960,https://imdb.com/title/tt0053604/,Romance,['United States'],['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven']"
Scarface,1983,https://imdb.com/title/tt0086250/,Drama,['United States'],['Brian De Palma'],"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar']"
Vivre,1952,https://imdb.com/title/tt0044741/,Drama,['Japan'],['Akira Kurosawa'],"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka', 'Minoru Chiaki', 'Miki Odagiri', 'Bokuzen Hidari', 'Minosuke Yamada', 'Kamatari Fujiwara', 'Makoto Kobori']"
L'Arnaque,1973,https://imdb.com/title/tt0070735/,Drama,['United States'],['George Roy Hill'],"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning', 'Ray Walston', 'Eileen Brennan', 'Harold Gould', 'John Heffernan', 'Dana Elcar', 'Jack Kehoe']"
Du silence et des ombres...,1962,https://imdb.com/title/tt0056592/,Drama,['United States'],['Robert Mulligan'],"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy', 'Ruth White', 'Brock Peters', 'Estelle Evans', 'Paul Fix', 'Collin Wilcox Paxton', 'James Anderson']"
Taxi Driver,1976,https://imdb.com/title/tt0075314/,Drama,['United States'],['Martin Scorsese'],"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks', 'Diahnne Abbott', 'Frank Adu', 'Victor Argo', 'Gino Ardito', 'Garth Avery', 'Peter Boyle']"
Là-haut,2009,https://imdb.com/title/tt1049413/,Comedy,['United States'],"['Pete Docter', 'Bob Peterson']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'David Kaye', 'Elie Docter', 'Jeremy Leary']"
L.A. Confidential,1997,https://imdb.com/title/tt0119488/,Mystery,['United States'],['Curtis Hanson'],"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger', 'James Cromwell', 'Danny DeVito', 'David Strathairn', 'Ron Rifkin', 'Matt McCoy', 'Paul Guilfoyle']"
Heat,1995,https://imdb.com/title/tt0113277/,Drama,['United States'],['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi']"
Metropolis,1927,https://imdb.com/title/tt0017136/,Sci-Fi,['Germany'],['Fritz Lang'],"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge', 'Fritz Rasp', 'Theodor Loos', 'Erwin Biswanger', 'Heinrich George', 'Fritz Alberti', 'Grete Berger']"
Hamilton,2020,https://imdb.com/title/tt8503618/,History,['United States'],['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Daveed Diggs', 'Jonathan Groff', 'Chris Jackson', 'Jasmine Cephas Jones', 'Okieriete Onaodowan', 'Anthony Ramos']"
Une séparation,2011,https://imdb.com/title/tt1832382/,Drama,"['Iran', 'France', 'Australia']",['Asghar Farhadi'],"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini', 'Sarina Farhadi', ""Merila Zare'i"", 'Ali-Asghar Shahbazi', 'Babak Karimi', 'Kimia Hosseini', 'Shirin Yazdanbakhsh']"
Snatch - Tu braques ou tu raques,2000,https://imdb.com/title/tt0208092/,Crime,"['United Kingdom', 'United States']",['Guy Ritchie'],"['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones', 'Ade', 'William Beck', 'Andy Beckwith', 'Ewen Bremner', 'Jason Buckham', 'Mickey Cantwell']"
Piège de cristal,1988,https://imdb.com/title/tt0095016/,Thriller,['United States'],['John McTiernan'],"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Paul Gleason', ""De'voreaux White"", 'William Atherton', 'Hart Bochner', 'James Shigeta', 'Alexander Godunov']"
Incendies,2010,https://imdb.com/title/tt1255953/,Mystery,"['Canada', 'France']",['Denis Villeneuve'],"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel', 'Hussein Sami', 'Rémy Girard', 'Dominique Briand', 'Frédéric Paquet', 'Hamed Najem', 'Ahmad Massad']"
Indiana Jones et la dernière croisade,1989,https://imdb.com/title/tt0097576/,Adventure,['United States'],['Steven Spielberg'],"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison']"
Voleur de bicyclette,1948,https://imdb.com/title/tt0040522/,Drama,['Italy'],['Vittorio De Sica'],"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri', 'Gino Saltamerenda', 'Giulio Chiari', 'Vittorio Antonucci', 'Michele Sakara', 'Fausto Guerzoni', 'Emma Druetti']"
1917,2019,https://imdb.com/title/tt8579674/,War,"['United Kingdom', 'United States', 'India', 'Spain']",['Sam Mendes'],"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth', 'Pip Carter', 'Andy Apollo', 'Paul Tinto', 'Josef Davies', 'Billy Postlethwaite', 'Gabriel Akuwudike']"
Taare Zameen Par,2007,https://imdb.com/title/tt0986264/,Family,['India'],"['Aamir Khan', 'Amole Gupte']","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma', 'Sachet Engineer', 'Tanay Chheda', 'Lalitha Lajmi', 'Girija Oak', 'Ravi Khanvilkar', 'Pratima Kulkarni']"
La chute,2004,https://imdb.com/title/tt0363163/,History,"['Germany', 'Austria', 'Italy']",['Oliver Hirschbiegel'],"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler', 'Corinna Harfouch', 'Heino Ferch', 'Christian Berkel', 'Matthias Habich', 'Thomas Kretschmann', 'Michael Mendl']"
